bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_total_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
159850,2025-01-14,-200000.0,264182,FRS CHQ,REGLEMENT CHEQUE N,96746,2025-01-16,-3000.0,-3000.0,CHP250000114,264184,FRS CHQ,Paiement ChèquesFournisseur,21.25
159856,2025-01-10,155256.525,877320,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,96717,2025-01-10,4220.0,155256.525,BEB24000094,10155333908,CLT EFFET,Validation Effet escompté en Banque,83.75
159859,2025-01-09,165791.763,877050,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,96705,2025-01-09,25000.0,165791.763,BEB24000089,10155331871,CLT EFFET,Validation Effet escompté en Banque,83.75
159860,2025-01-08,-12984.0,10475593,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96704,2025-01-08,-12984.0,-12984.0,BVC250000141,10155361941,CLT EFFET,Valider Impayé via escompte,83.75
159861,2025-01-08,-16500.0,10490556,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96702,2025-01-06,-16500.0,-16500.0,BVC250000068,10287839303,CLT EFFET,Valider Impayé via escompte,81.25
159871,2025-01-03,-33257.47,10475585,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96698,2025-01-03,-33257.47,-33257.47,BVC250000094,10155360971,CLT EFFET,Valider Impayé via escompte,83.75
159872,2025-01-03,-34375.829,10469519,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96697,2025-01-03,-34375.829,-34375.829,BVC250000071,10155319552,CLT EFFET,Valider Impayé via escompte,83.75
159873,2025-01-03,-15841.149,10486461,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96700,2025-01-03,-15841.149,-15841.149,BVC250000193,10155285505,CLT EFFET,Valider Impayé via escompte,83.75
159879,2025-01-03,-58709.107,264179,FRS CHQ,REGLEMENT CHEQUE N,96701,2025-01-03,-58709.107,-58709.107,CHP250000113,264179,FRS CHQ,Paiement ChèquesFournisseur,83.75
159885,2025-01-02,-26196.409,10475567,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96695,2025-01-02,-26196.409,-26196.409,BVC250000136,10155347585,CLT EFFET,Valider Impayé via escompte,83.75
159825,2025-01-29,-26196.409,10475586,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96784,2025-01-29,-26196.409,-26196.409,BVC250000195,10155347391,CLT EFFET,Valider Impayé via escompte,83.75
159836,2025-01-21,-28750.0,10469531,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96779,2025-01-21,-28750.0,-28750.0,BVC250000204,10155321201,CLT EFFET,Valider Impayé via escompte,83.75
159844,2025-01-14,-28750.0,10469525,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96744,2025-01-14,-28750.0,-28750.0,BVC250000202,10155320910,CLT EFFET,Valider Impayé via escompte,83.75
159854,2025-01-13,142211.684,877759,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,96731,2025-01-13,35154.503,142211.684,BEB24000098,10396908916,CLT EFFET,Validation Effet escompté en Banque,83.75
159865,2025-01-08,-26196.409,10475589,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96703,2025-01-08,-26196.409,-26196.409,BVC250000137,10155347003,CLT EFFET,Valider Impayé via escompte,83.75
159878,2025-01-03,-12473.794,10475568,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,96699,2025-01-03,-12473.794,-12473.794,BVC250000121,10155355442,CLT EFFET,Valider Impayé via escompte,83.75
